Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SVC,{'C': 1e-06},True,0.5743765209176263,0.33061865410316854,0.5743765209176263,0.41946235935572096
2,SVC,{'C': 1e-05},True,0.5743765209176263,0.33061865410316854,0.5743765209176263,0.41946235935572096
3,SVC,{'C': 0.0001},True,0.5743765209176263,0.33061865410316854,0.5743765209176263,0.41946235935572096
4,SVC,{'C': 0.001},True,0.9899132428086561,0.9894526070419003,0.9899132428086561,0.9895685266901749
5,SVC,{'C': 0.01},True,0.9899132428086561,0.9894526070419003,0.9899132428086561,0.9895685266901749
6,SVC,{'C': 0.1},True,0.995284715407075,0.9944959679041976,0.995284715407075,0.9948819057534599
7,SVC,{'C': 1.0},True,0.9960629581235786,0.9959152636920688,0.9960629581235786,0.9958106619622773
8,SVC,{'C': 5},True,0.9969480512502414,0.9969542678524099,0.9969480512502414,0.9969170202566329
9,SVC,{'C': 10},True,0.9971006519477067,0.9971068284848814,0.9971006519477067,0.9970773618676061
10,SVC,{'C': 20},True,0.9974821414664549,0.9974900950395156,0.9974821414664549,0.9974595261708107
