Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.0001, 'early_stopping': False, 'class_weight': 'balanced', 'n_jobs': -1}",True,0.9817188523236261,0.9921873551664124,0.9817188523236261,0.9866449144890359
2,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.0001, 'early_stopping': False, 'class_weight': None, 'n_jobs': -1}",True,0.9914697911126525,0.9908638131539261,0.9914697911126525,0.9910607956091976
3,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.0001, 'early_stopping': True, 'class_weight': 'balanced', 'n_jobs': -1}",True,0.9057688882701141,0.9526482412796959,0.9057688882701141,0.9235957447886177
4,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.0001, 'early_stopping': True, 'class_weight': None, 'n_jobs': -1}",True,0.9914392777259694,0.9908324563203765,0.9914392777259694,0.9910298876127415
5,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.001, 'early_stopping': False, 'class_weight': 'balanced', 'n_jobs': -1}",True,0.9811387207507132,0.9916190057555261,0.9811387207507132,0.9860138044196741
6,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.001, 'early_stopping': False, 'class_weight': None, 'n_jobs': -1}",True,0.9917444663138463,0.9912587261737114,0.9917444663138463,0.9913637925637072
7,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.001, 'early_stopping': True, 'class_weight': 'balanced', 'n_jobs': -1}",True,0.9423327239620933,0.9922707004241399,0.9423327239620933,0.9619833269838081
8,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.001, 'early_stopping': True, 'class_weight': None, 'n_jobs': -1}",True,0.9917444581639033,0.9911176226843663,0.9917444581639033,0.9913348758532287
9,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.01, 'early_stopping': False, 'class_weight': 'balanced', 'n_jobs': -1}",True,0.9826953575398051,0.9918879960862691,0.9826953575398051,0.9870476945787321
10,SGDClassifier,"{'loss': 'log_loss', 'penalty': 'l1', 'alpha': 0.0001, 'tol': 0.01, 'early_stopping': False, 'class_weight': None, 'n_jobs': -1}",True,0.9916834372119251,0.9910853190134862,0.9916834372119251,0.9912834447113191
