Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovo'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
2,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
3,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
4,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'scale', 'kernel': 'poly', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
5,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
6,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
7,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'auto', 'kernel': 'linear', 'decision_function_shape': 'ovo'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
8,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'auto', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
9,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'auto', 'kernel': 'poly', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
10,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'auto', 'kernel': 'poly', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
11,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'auto', 'kernel': 'rbf', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
12,SVC,"{'C': 0.0001, 'degree': 1, 'gamma': 'auto', 'kernel': 'rbf', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
13,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovo'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
14,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
15,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'decision_function_shape': 'ovo'}",True,0.57503270892312,0.19369004931357484,0.25077589317935767,0.18392722742435527
16,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'decision_function_shape': 'ovr'}",True,0.57503270892312,0.19369004931357484,0.25077589317935767,0.18392722742435527
17,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
18,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
19,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear', 'decision_function_shape': 'ovo'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
20,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear', 'decision_function_shape': 'ovr'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
21,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
22,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
23,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'decision_function_shape': 'ovo'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
24,SVC,"{'C': 0.0001, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'decision_function_shape': 'ovr'}",True,0.5743765209176263,0.14359413022940656,0.25,0.18232267061988292
25,SVC,"{'C': 0.0001, 'degree': 5, 'gamma': 'scale', 'kernel': 'linear', 'decision_function_shape': 'ovo'}",True,0.9197342662177259,0.6871385649523463,0.6741182664660441,0.6728602895519891
